user_id,event_dt,event_type,screen_name,button_name,amount,transaction_type
user_00000,2025-11-07 18:08:06.488811,login,,,,
user_00000,2025-11-07 18:08:53.488811,screen_view,transfers,,,
user_00000,2025-11-07 18:09:38.488811,button_click,,transfer,,
user_00000,2025-11-07 18:10:13.488811,screen_view,main,,,
user_00000,2025-11-07 18:10:32.488811,button_click,,payment,,
user_00000,2025-11-07 18:11:21.488811,screen_view,payments,,,
user_00000,2025-11-07 18:12:05.488811,button_click,,support,,
user_00000,2025-11-07 18:12:38.488811,transaction,,,25143.43,transfer
user_00000,2025-11-07 18:13:17.380951,logout,,,,
user_00000,2025-11-02 06:41:06.488811,login,,,,
user_00000,2025-11-02 06:42:05.488811,screen_view,cards,,,
user_00000,2025-11-02 06:43:18.488811,screen_view,profile,,,
user_00000,2025-11-02 06:43:47.488811,screen_view,cards,,,
user_00000,2025-11-02 06:45:05.488811,button_click,,transfer,,
user_00000,2025-11-02 06:46:22.269531,logout,,,,
user_00000,2025-11-09 23:53:06.488811,login,,,,
user_00000,2025-11-09 23:53:47.488811,button_click,,support,,
user_00000,2025-11-09 23:54:32.488811,screen_view,transfers,,,
user_00000,2025-11-09 23:55:34.488811,screen_view,transfers,,,
user_00000,2025-11-09 23:56:01.488811,screen_view,transfers,,,
user_00000,2025-11-09 23:57:00.488811,button_click,,card_details,,
user_00000,2025-11-09 23:57:22.488811,screen_view,cards,,,
user_00000,2025-11-09 23:58:17.488811,screen_view,cards,,,
user_00000,2025-11-09 23:59:16.488811,screen_view,transfers,,,
user_00000,2025-11-09 23:59:49.488811,button_click,,,,
user_00000,2025-11-10 00:00:25.488811,screen_view,profile,,,
user_00000,2025-11-10 00:01:48.552862,logout,,,,
user_00000,2025-11-05 03:00:06.488811,login,,,,
user_00000,2025-11-05 03:00:12.488811,screen_view,main,,,
user_00000,2025-11-05 03:00:22.488811,screen_view,transfers,,,
user_00000,2025-11-05 03:00:40.488811,screen_view,payments,,,
user_00000,2025-11-05 03:00:54.488811,screen_view,payments,,,
user_00000,2025-11-05 03:01:11.488811,screen_view,cards,,,
user_00000,2025-11-05 03:01:28.488811,button_click,,card_details,,
user_00000,2025-11-05 03:01:40.488811,transaction,,,25228.56,transfer
user_00000,2025-11-05 03:01:46.488811,button_click,,support,,
user_00000,2025-11-05 03:01:59.488811,button_click,,transfer,,
user_00000,2025-11-05 03:02:09.488811,screen_view,settings,,,
user_00000,2025-11-05 03:02:48.724075,logout,,,,
user_00001,2025-11-03 04:20:06.488811,login,,,,
user_00001,2025-11-03 04:21:11.488811,transaction,,,40393.05,transfer
user_00001,2025-11-03 04:22:07.488811,transaction,,,25130.83,payment
user_00001,2025-11-03 04:23:40.488811,button_click,,card_details,,
user_00001,2025-11-03 04:24:53.488811,screen_view,payments,,,
user_00001,2025-11-03 04:27:24.631663,logout,,,,
user_00001,2025-10-28 00:13:06.488811,login,,,,
user_00001,2025-10-28 00:13:07.488811,screen_view,profile,,,
user_00001,2025-10-28 00:13:10.488811,screen_view,cards,,,
user_00001,2025-10-28 00:13:13.488811,button_click,,support,,
user_00001,2025-10-28 00:13:14.488811,transaction,,,7216.86,payment
user_00001,2025-10-28 00:13:17.488811,transaction,,,39889.41,transfer
user_00001,2025-10-28 00:13:19.488811,screen_view,,,,
user_00001,2025-10-28 00:13:20.488811,transaction,,,8157.48,payment
user_00001,2025-10-28 00:13:23.488811,screen_view,main,,,
user_00001,2025-10-28 00:13:24.488811,screen_view,payments,,,
user_00001,2025-10-28 00:13:29.439403,logout,,,,
user_00001,2025-10-31 16:40:06.488811,login,,,,
user_00001,2025-10-31 16:41:08.488811,transaction,,,46997.49,payment
user_00001,2025-10-31 16:41:31.488811,screen_view,transfers,,,
user_00001,2025-10-31 16:42:17.488811,screen_view,profile,,,
user_00001,2025-10-31 16:42:46.488811,screen_view,profile,,,
user_00001,2025-10-31 16:43:46.488811,transaction,,,18746.79,payment
user_00001,2025-10-31 16:44:39.488811,screen_view,settings,,,
user_00001,2025-10-31 16:45:02.488811,button_click,,transfer,,
user_00001,2025-10-31 16:45:38.488811,button_click,,transfer,,
user_00001,2025-10-31 16:46:08.488811,transaction,,,14603.96,transfer
user_00001,2025-10-31 16:47:05.488811,screen_view,main,,,
user_00001,2025-10-31 16:48:31.797691,logout,,,,
user_00001,2025-10-30 14:19:06.488811,login,,,,
user_00001,2025-10-30 14:20:32.488811,screen_view,payments,,,
user_00001,2025-10-30 14:23:34.488811,screen_view,cards,,,
user_00001,2025-10-30 14:25:04.488811,transaction,,,46132.29,payment
user_00001,2025-10-30 14:26:58.488811,screen_view,main,,,
user_00001,2025-10-30 14:29:22.488811,screen_view,profile,,,
user_00001,2025-10-30 14:32:29.488811,screen_view,settings,,,
user_00001,2025-10-30 14:35:33.488811,screen_view,payments,,,
user_00001,2025-10-30 14:36:45.488811,button_click,,support,,
user_00001,2025-10-30 14:38:25.488811,button_click,,card_details,,
user_00001,2025-10-30 14:39:36.488811,transaction,,,38732.86,transfer
user_00001,2025-10-30 14:44:27.735404,logout,,,,
user_00001,2025-11-08 13:14:06.488811,login,,,,
user_00001,2025-11-08 13:17:28.488811,screen_view,cards,,,
user_00001,2025-11-08 13:18:54.488811,transaction,,,34215.2,payment
user_00001,2025-11-08 13:21:19.488811,button_click,,transfer,,
user_00001,2025-11-08 13:23:16.488811,screen_view,payments,,,
user_00001,2025-11-08 13:24:57.488811,screen_view,settings,,,
user_00001,2025-11-08 13:28:13.488811,transaction,,,26286.42,payment
user_00001,2025-11-08 13:30:21.488811,transaction,,,4712.82,payment
user_00001,2025-11-08 13:33:09.488811,transaction,,,14915.56,transfer
user_00001,2025-11-08 13:35:59.488811,transaction,,,24133.1,transfer
user_00001,2025-11-08 13:44:06.488811,logout,,,,
user_00002,2025-11-07 14:46:06.488811,login,,,,
user_00002,2025-11-07 14:46:18.488811,transaction,,,28089.33,transfer
user_00002,2025-11-07 14:46:25.488811,button_click,,payment,,
user_00002,2025-11-07 14:46:36.488811,button_click,,card_details,,
user_00002,2025-11-07 14:46:42.488811,screen_view,payments,,,
user_00002,2025-11-07 14:47:02.488811,screen_view,transfers,,,
user_00002,2025-11-07 14:47:09.488811,button_click,,support,,
user_00002,2025-11-07 14:47:19.488811,button_click,,transfer,,
user_00002,2025-11-07 14:47:32.488811,transaction,,,42877.63,payment
user_00002,2025-11-07 14:47:48.488811,transaction,,,4962.56,transfer
user_00002,2025-11-07 14:48:05.488811,transaction,,,21066.79,transfer
user_00002,2025-11-07 14:48:20.488811,screen_view,transfers,,,
user_00002,2025-11-07 14:48:29.488811,transaction,,,48590.05,transfer
user_00002,2025-11-07 14:49:16.841552,logout,,,,
user_00002,2025-11-01 12:25:06.488811,login,,,,
user_00002,2025-11-01 12:25:25.488811,button_click,,transfer,,
user_00002,2025-11-01 12:25:50.488811,button_click,,support,,
user_00002,2025-11-01 12:26:13.488811,screen_view,transfers,,,
user_00002,2025-11-01 12:26:40.488811,screen_view,transfers,,,
user_00002,2025-11-01 12:26:53.488811,transaction,,,22995.3,payment
user_00002,2025-11-01 12:27:08.488811,button_click,,payment,,
user_00002,2025-11-01 12:27:35.488811,screen_view,transfers,,,
user_00002,2025-11-01 12:28:08.836044,logout,,,,
user_00002,2025-11-09 23:08:06.488811,login,,,,
user_00002,2025-11-09 23:08:37.488811,screen_view,profile,,,
user_00002,2025-11-09 23:08:51.488811,transaction,,,40316.39,transfer
user_00002,2025-11-09 23:09:04.488811,button_click,,support,,
user_00002,2025-11-09 23:09:18.488811,screen_view,profile,,,
user_00002,2025-11-09 23:09:46.488811,screen_view,payments,,,
user_00002,2025-11-09 23:10:13.488811,button_click,,,,
user_00002,2025-11-09 23:10:45.488811,screen_view,payments,,,
user_00002,2025-11-09 23:11:02.488811,screen_view,,,,
user_00002,2025-11-09 23:11:30.488811,screen_view,cards,,,
user_00002,2025-11-09 23:12:28.274908,logout,,,,
user_00002,2025-11-09 16:31:06.488811,login,,,,
user_00002,2025-11-09 16:31:24.488811,transaction,,,20705.44,payment
user_00002,2025-11-09 16:31:30.488811,transaction,,,39131.58,payment
user_00002,2025-11-09 16:31:40.488811,transaction,,,13298.5,payment
user_00002,2025-11-09 16:31:56.488811,screen_view,payments,,,
user_00002,2025-11-09 16:32:02.488811,screen_view,cards,,,
user_00002,2025-11-09 16:32:20.488811,screen_view,profile,,,
user_00002,2025-11-09 16:32:39.488811,button_click,,,,
user_00002,2025-11-09 16:32:50.488811,screen_view,profile,,,
user_00002,2025-11-09 16:33:18.864916,logout,,,,
user_00002,2025-11-02 08:59:06.488811,login,,,,
user_00002,2025-11-02 08:59:09.488811,button_click,,,,
user_00002,2025-11-02 08:59:11.488811,transaction,,,28934.9,transfer
user_00002,2025-11-02 08:59:18.488811,screen_view,settings,,,
user_00002,2025-11-02 08:59:21.488811,screen_view,transfers,,,
user_00002,2025-11-02 08:59:27.488811,screen_view,cards,,,
user_00002,2025-11-02 08:59:29.488811,button_click,,payment,,
user_00002,2025-11-02 08:59:35.488811,screen_view,profile,,,
user_00002,2025-11-02 08:59:40.488811,transaction,,,31403.19,payment
user_00002,2025-11-02 08:59:46.488811,screen_view,transfers,,,
user_00002,2025-11-02 09:00:00.323878,logout,,,,
user_00002,2025-10-30 03:29:06.488811,login,,,,
user_00002,2025-10-30 03:29:54.488811,screen_view,profile,,,
user_00002,2025-10-30 03:30:24.488811,screen_view,settings,,,
user_00002,2025-10-30 03:31:19.488811,transaction,,,4030.75,payment
user_00002,2025-10-30 03:32:36.672968,logout,,,,
user_00003,2025-10-28 01:10:06.488811,login,,,,
user_00003,2025-10-28 01:10:08.488811,button_click,,card_details,,
user_00003,2025-10-28 01:10:09.488811,screen_view,cards,,,
user_00003,2025-10-28 01:10:11.488811,screen_view,cards,,,
user_00003,2025-10-28 01:10:14.488811,button_click,,support,,
user_00003,2025-10-28 01:10:16.488811,button_click,,card_details,,
user_00003,2025-10-28 01:10:23.430387,logout,,,,
user_00003,2025-10-28 06:04:06.488811,login,,,,
user_00003,2025-10-28 06:04:28.488811,screen_view,profile,,,
user_00003,2025-10-28 06:04:51.488811,screen_view,transfers,,,
user_00003,2025-10-28 06:05:23.488811,transaction,,,4729.58,payment
user_00003,2025-10-28 06:06:56.429157,logout,,,,
user_00003,2025-11-09 13:22:06.488811,login,,,,
user_00003,2025-11-09 13:22:54.488811,screen_view,main,,,
user_00003,2025-11-09 13:23:43.488811,screen_view,settings,,,
user_00003,2025-11-09 13:24:10.488811,screen_view,payments,,,
user_00003,2025-11-09 13:24:57.488811,transaction,,,31714.23,payment
user_00003,2025-11-09 13:25:30.488811,screen_view,main,,,
user_00003,2025-11-09 13:26:04.488811,button_click,,transfer,,
user_00003,2025-11-09 13:28:15.772594,logout,,,,
user_00003,2025-10-28 11:46:06.488811,login,,,,
user_00003,2025-10-28 11:47:09.488811,button_click,,transfer,,
user_00003,2025-10-28 11:47:43.488811,button_click,,card_details,,
user_00003,2025-10-28 11:48:14.488811,screen_view,main,,,
user_00003,2025-10-28 11:49:12.488811,screen_view,profile,,,
user_00003,2025-10-28 11:50:24.488811,screen_view,transfers,,,
user_00003,2025-10-28 11:50:55.488811,transaction,,,,transfer
user_00003,2025-10-28 11:51:33.488811,screen_view,settings,,,
user_00003,2025-10-28 11:52:05.488811,screen_view,payments,,,
user_00003,2025-10-28 11:52:41.488811,transaction,,,17492.81,payment
user_00003,2025-10-28 11:53:34.488811,button_click,,support,,
user_00003,2025-10-28 11:56:00.618959,logout,,,,
user_00003,2025-11-02 17:49:06.488811,login,,,,
user_00003,2025-11-02 17:49:52.488811,screen_view,settings,,,
user_00003,2025-11-02 17:51:16.488811,transaction,,,14126.03,payment
user_00003,2025-11-02 17:51:52.488811,button_click,,card_details,,
user_00003,2025-11-02 17:52:32.488811,button_click,,support,,
user_00003,2025-11-02 17:53:29.488811,transaction,,,21244.49,payment
user_00003,2025-11-02 17:54:51.488811,screen_view,main,,,
user_00003,2025-11-02 17:57:15.341297,logout,,,,
user_00003,2025-11-05 13:51:06.488811,login,,,,
user_00003,2025-11-05 13:53:08.488811,screen_view,settings,,,
user_00003,2025-11-05 13:54:06.488811,screen_view,,,,
user_00003,2025-11-05 13:56:01.488811,screen_view,payments,,,
user_00003,2025-11-05 13:57:28.488811,button_click,,card_details,,
user_00003,2025-11-05 13:59:08.488811,screen_view,cards,,,
user_00003,2025-11-05 14:00:39.488811,screen_view,cards,,,
user_00003,2025-11-05 14:04:40.847099,logout,,,,
user_00003,2025-11-01 08:28:06.488811,login,,,,
user_00003,2025-11-01 08:28:39.488811,screen_view,cards,,,
user_00003,2025-11-01 08:29:15.488811,screen_view,main,,,
user_00003,2025-11-01 08:29:37.488811,button_click,,card_details,,
user_00003,2025-11-01 08:29:55.488811,screen_view,transfers,,,
user_00003,2025-11-01 08:30:14.488811,button_click,,support,,
user_00003,2025-11-01 08:30:35.488811,button_click,,payment,,
user_00003,2025-11-01 08:31:23.397058,logout,,,,
user_00003,2025-10-28 18:41:06.488811,login,,,,
user_00003,2025-10-28 18:41:27.488811,button_click,,support,,
user_00003,2025-10-28 18:42:11.488811,screen_view,transfers,,,
user_00003,2025-10-28 18:42:40.488811,screen_view,payments,,,
user_00003,2025-10-28 18:43:28.488811,screen_view,,,,
user_00003,2025-10-28 18:44:11.488811,screen_view,payments,,,
user_00003,2025-10-28 18:44:38.488811,button_click,,support,,
user_00003,2025-10-28 18:45:10.488811,button_click,,card_details,,
user_00003,2025-10-28 18:45:28.488811,button_click,,transfer,,
user_00003,2025-10-28 18:46:14.488811,screen_view,payments,,,
user_00003,2025-10-28 18:46:33.488811,transaction,,,45909.92,transfer
user_00003,2025-10-28 18:47:11.488811,button_click,,transfer,,
user_00003,2025-10-28 18:47:58.488811,screen_view,payments,,,
user_00003,2025-10-28 18:49:25.868995,logout,,,,
user_00003,2025-11-07 10:41:06.488811,login,,,,
user_00003,2025-11-07 10:41:14.488811,screen_view,main,,,
user_00003,2025-11-07 10:41:20.488811,button_click,,support,,
user_00003,2025-11-07 10:41:26.488811,screen_view,transfers,,,
user_00003,2025-11-07 10:41:33.488811,transaction,,,24717.5,transfer
user_00003,2025-11-07 10:41:41.488811,screen_view,profile,,,
user_00003,2025-11-07 10:41:43.488811,screen_view,main,,,
user_00003,2025-11-07 10:41:51.488811,screen_view,main,,,
user_00003,2025-11-07 10:41:55.488811,transaction,,,36240.24,transfer
user_00003,2025-11-07 10:42:01.851573,logout,,,,
user_00003,2025-10-29 03:36:06.488811,login,,,,
user_00003,2025-10-29 03:36:22.488811,transaction,,,43413.94,payment
user_00003,2025-10-29 03:36:40.488811,screen_view,transfers,,,
user_00003,2025-10-29 03:37:00.488811,screen_view,settings,,,
user_00003,2025-10-29 03:37:40.488811,screen_view,cards,,,
